,Año,Id_Municipio,Nombre_Municipio,Poblacion,Total_Accidentes,Tasa_Accidentes,Total_Muertes,Tasa_Muertos,Total_Muertes_Alcohol,Tasa_Muertos_Alcohol,Total_Heridos,Tasa_Heridos,Total_Heridos_Alcohol,Tasa_Heridos_Alcohol,Total_Cinturon_Uso,Total_Cinturon_Tasa,Total_Fugas,Total_Fugas_Tasa
37,1997,38,Moctezuma,4187,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
38,1997,39,Naco,5370,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
39,1997,40,Nácori Chico,2236,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
40,1997,41,Nacozari de García,14365,96,6.682909850330665,2,0.1392272885485555,0,0.0,16,1.113818308388444,0,0.0,0,0.0,0,0.0
41,1997,42,Navojoa,140650,833,5.922502666192677,11,0.07820831852115179,0,0.0,388,2.758620689655172,20,0.14219694276573053,0,0.0,123,0.8745111980092428
42,1997,43,Nogales,159787,1586,9.925713606238306,11,0.06884164544049265,2,0.012516662807362302,570,3.5672489000982557,76,0.47563318667976745,0,0.0,180,1.1264996526626072
43,1997,44,Onavas,479,1,2.08768267223382,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
44,1997,45,Opodepe,2831,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
45,1997,46,Oquitoa,402,1,2.487562189054726,0,0.0,0,0.0,1,2.487562189054726,0,0.0,0,0.0,0,0.0
46,1997,47,Pitiquito,9236,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
47,1997,48,Puerto Peñasco,31157,523,16.785955002086208,6,0.1925730975382739,0,0.0,130,4.172417113329268,42,1.3480116827679174,0,0.0,46,1.4763937477934332
48,1997,49,Quiriego,3335,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
49,1997,50,Rayón,1591,1,0.6285355122564426,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
50,1997,51,Rosario,5432,10,1.840942562592047,1,0.1840942562592047,0,0.0,3,0.5522827687776142,0,0.0,0,0.0,2,0.3681885125184094
51,1997,52,Sahuaripa,6400,15,2.34375,5,0.78125,0,0.0,2,0.3125,0,0.0,0,0.0,5,0.78125
52,1997,53,San Felipe de Jesús,416,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
53,1997,54,San Javier,279,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
54,1997,55,San Luis Río Colorado,145006,1529,10.54439126656828,14,0.09654772905948719,2,0.013792532722783885,605,4.172241148642125,172,1.186157814159414,0,0.0,141,0.9723735569562639
55,1997,56,San Miguel de Horcasitas,5626,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
56,1997,57,San Pedro de la Cueva,1703,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
57,1997,58,Santa Ana,13526,9,0.665385184089901,1,0.0739316871211001,1,0.0739316871211001,6,0.44359012272660064,1,0.0739316871211001,0,0.0,2,0.1478633742422002
58,1997,59,Santa Cruz,1628,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
59,1997,60,Sáric,2257,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
